D_train,D_test,ratio,mode,phase,base_seed,acc_pct_mean_over_retime_seeds,n_retime_seeds
30,50,1.6667,rand_complex,recovery,8,80.2,3
30,50,1.6667,rand_complex,recovery,9,77.767,3
30,50,1.6667,rand_complex,recovery,72,80.25,3
30,50,1.6667,rand_complex,transfer,1,79.483,3
30,50,1.6667,rand_complex,transfer,2,79.75,3
30,50,1.6667,rand_complex,transfer,3,76.6,3
30,50,1.6667,rand_complex,transfer,4,71.733,3
30,50,1.6667,rand_complex,transfer,5,77.75,3
30,50,1.6667,rand_complex,transfer,6,81.35,3
30,50,1.6667,rand_complex,transfer,7,81.483,3
30,50,1.6667,rand_complex,transfer,8,81.183,3
30,50,1.6667,rand_complex,transfer,9,74.067,3
30,50,1.6667,rand_complex,transfer,72,81.5,3
30,60,2.0,hippo,recovery,1,70.55,3
30,60,2.0,hippo,recovery,2,82.5,3
30,60,2.0,hippo,recovery,3,73.233,3
30,60,2.0,hippo,recovery,4,77.767,3
30,60,2.0,hippo,recovery,5,80.0,3
30,60,2.0,hippo,recovery,6,79.867,3
30,60,2.0,hippo,recovery,7,75.433,3
30,60,2.0,hippo,recovery,8,77.3,3
30,60,2.0,hippo,recovery,9,83.85,3
30,60,2.0,hippo,recovery,72,77.167,3
30,60,2.0,hippo,transfer,1,49.667,3
30,60,2.0,hippo,transfer,2,70.733,3
30,60,2.0,hippo,transfer,3,72.5,3
30,60,2.0,hippo,transfer,4,70.05,3
30,60,2.0,hippo,transfer,5,74.533,3
30,60,2.0,hippo,transfer,6,70.717,3
30,60,2.0,hippo,transfer,7,68.283,3
30,60,2.0,hippo,transfer,8,59.65,3
30,60,2.0,hippo,transfer,9,84.65,3
30,60,2.0,hippo,transfer,72,64.883,3
30,60,2.0,rand_complex,recovery,1,77.8,3
30,60,2.0,rand_complex,recovery,2,75.433,3
30,60,2.0,rand_complex,recovery,3,74.6,3
30,60,2.0,rand_complex,recovery,4,69.65,3
30,60,2.0,rand_complex,recovery,5,75.017,3
30,60,2.0,rand_complex,recovery,6,79.567,3
30,60,2.0,rand_complex,recovery,7,78.133,3
30,60,2.0,rand_complex,recovery,8,78.2,3
30,60,2.0,rand_complex,recovery,9,74.633,3
30,60,2.0,rand_complex,recovery,72,77.383,3
30,60,2.0,rand_complex,transfer,1,72.383,3
30,60,2.0,rand_complex,transfer,2,73.417,3
30,60,2.0,rand_complex,transfer,3,70.15,3
30,60,2.0,rand_complex,transfer,4,58.467,3
30,60,2.0,rand_complex,transfer,5,70.283,3
30,60,2.0,rand_complex,transfer,6,76.417,3
30,60,2.0,rand_complex,transfer,7,74.0,3
30,60,2.0,rand_complex,transfer,8,75.917,3
30,60,2.0,rand_complex,transfer,9,61.433,3
30,60,2.0,rand_complex,transfer,72,73.067,3
30,70,2.3333,hippo,recovery,1,70.933,3
30,70,2.3333,hippo,recovery,2,80.183,3
30,70,2.3333,hippo,recovery,3,74.15,3
30,70,2.3333,hippo,recovery,4,74.683,3
30,70,2.3333,hippo,recovery,5,76.383,3
30,70,2.3333,hippo,recovery,6,78.167,3
30,70,2.3333,hippo,recovery,7,70.35,3
30,70,2.3333,hippo,recovery,8,76.267,3
30,70,2.3333,hippo,recovery,9,81.6,3
30,70,2.3333,hippo,recovery,72,76.017,3
30,70,2.3333,hippo,transfer,1,39.383,3
30,70,2.3333,hippo,transfer,2,60.017,3
30,70,2.3333,hippo,transfer,3,63.917,3
30,70,2.3333,hippo,transfer,4,64.25,3
30,70,2.3333,hippo,transfer,5,68.05,3
30,70,2.3333,hippo,transfer,6,70.267,3
30,70,2.3333,hippo,transfer,7,60.933,3
30,70,2.3333,hippo,transfer,8,60.617,3
30,70,2.3333,hippo,transfer,9,83.567,3
30,70,2.3333,hippo,transfer,72,56.867,3
30,70,2.3333,rand_complex,recovery,1,74.0,3
30,70,2.3333,rand_complex,recovery,2,68.533,3
30,70,2.3333,rand_complex,recovery,3,65.533,3
30,70,2.3333,rand_complex,recovery,4,62.3,3
30,70,2.3333,rand_complex,recovery,5,69.283,3
30,70,2.3333,rand_complex,recovery,6,76.217,3
30,70,2.3333,rand_complex,recovery,7,71.217,3
30,70,2.3333,rand_complex,recovery,8,72.05,3
30,70,2.3333,rand_complex,recovery,9,68.867,3
30,70,2.3333,rand_complex,recovery,72,72.683,3
30,70,2.3333,rand_complex,transfer,1,62.317,3
30,70,2.3333,rand_complex,transfer,2,62.267,3
30,70,2.3333,rand_complex,transfer,3,58.767,3
30,70,2.3333,rand_complex,transfer,4,43.933,3
30,70,2.3333,rand_complex,transfer,5,60.0,3
30,70,2.3333,rand_complex,transfer,6,69.85,3
30,70,2.3333,rand_complex,transfer,7,61.833,3
30,70,2.3333,rand_complex,transfer,8,69.25,3
30,70,2.3333,rand_complex,transfer,9,47.4,3
30,70,2.3333,rand_complex,transfer,72,60.033,3
30,80,2.6667,hippo,recovery,1,69.767,3
30,80,2.6667,hippo,recovery,2,79.417,3
30,80,2.6667,hippo,recovery,3,73.683,3
30,80,2.6667,hippo,recovery,4,73.533,3
30,80,2.6667,hippo,recovery,5,77.817,3
30,80,2.6667,hippo,recovery,6,78.283,3
30,80,2.6667,hippo,recovery,7,67.567,3
30,80,2.6667,hippo,recovery,8,76.433,3
30,80,2.6667,hippo,recovery,9,83.55,3
30,80,2.6667,hippo,recovery,72,76.35,3
30,80,2.6667,hippo,transfer,1,35.717,3
30,80,2.6667,hippo,transfer,2,55.933,3
30,80,2.6667,hippo,transfer,3,56.95,3
30,80,2.6667,hippo,transfer,4,58.567,3
30,80,2.6667,hippo,transfer,5,62.1,3
30,80,2.6667,hippo,transfer,6,73.567,3
30,80,2.6667,hippo,transfer,7,54.033,3
30,80,2.6667,hippo,transfer,8,65.333,3
30,80,2.6667,hippo,transfer,9,78.733,3
30,80,2.6667,hippo,transfer,72,54.267,3
30,80,2.6667,rand_complex,recovery,1,70.05,3
