kind,projection,split,lap,dim1,dim2
trained,lda,train,3,-4.2504302127009801,0.31463828923743076
trained,lda,train,3,-3.8161905917959023,0.47913996292324601
trained,lda,train,2,3.4391941652254383,0.45568499137628321
trained,lda,train,2,3.5278950682018357,-0.38076633214285099
trained,lda,train,2,3.3819860498288179,-0.69950527188059508
trained,lda,train,3,-5.7818582909715523,-1.3626905647497729
trained,lda,train,3,-5.2378483312825415,-0.64896667378627659
trained,lda,train,2,3.6644705804154634,-0.1572740253451963
trained,lda,train,2,3.2438836885574656,-0.93735148040593563
trained,lda,train,2,3.4654047234014524,-0.81360112155621966
trained,lda,train,2,3.3497777776837383,-1.2404661579321272
trained,lda,train,3,-4.5188070988158939,-0.0085453120759624215
trained,lda,train,2,3.6619605191825904,-1.0441441319103322
trained,lda,train,2,3.6404088740471465,0.53401972602239578
trained,lda,train,2,3.6328817861922418,-0.15386080126838408
trained,lda,train,3,-3.7396007604786043,1.4779562400922661
trained,lda,train,3,-4.6334342424749009,-1.9745818615222801
trained,lda,train,2,-3.2554935355772159,0.28541918189976134
trained,lda,train,3,-3.8151825786204974,0.81393782323868524
trained,lda,train,3,-4.1301268209776367,-0.33973527350176624
trained,lda,train,3,-4.9943837662193378,-0.65221185090640643
trained,lda,train,4,-13.418096413948508,0.81586323541668104
trained,lda,train,3,-3.7506468473302372,0.68293974692120518
trained,lda,train,3,-4.6009466010326605,-1.0254200974396184
trained,lda,train,2,3.1241993704873638,1.73588065855859
trained,lda,train,3,-3.8163513519597343,-0.3613686009585112
trained,lda,train,2,3.4896875503741915,0.7651502592908711
trained,lda,train,2,-3.4027426096025684,1.0779887251821882
trained,lda,train,2,3.6317358386881833,-0.005159640965402632
trained,lda,train,3,-3.9177087255970067,0.58020909095647732
trained,lda,train,2,3.8087058915503276,0.25543260749553348
trained,lda,train,2,3.7394799519540132,-1.2322783970702531
trained,lda,train,2,3.4848033299412196,0.84579700898143884
trained,lda,train,3,-4.5373621393357899,1.9545779492843696
trained,lda,train,2,3.9507498368096972,2.0585498720385913
trained,lda,train,2,3.2300503406596723,0.48144779112122549
trained,lda,train,2,3.3878289450943972,0.66137785899482138
trained,lda,train,2,3.5861815354439943,0.72098919719968824
trained,lda,train,2,3.6872076581465838,-1.0148938360960131
trained,lda,train,2,3.9130343335742936,1.1032496455717631
trained,lda,train,2,3.5101887284406601,0.052190225269463486
trained,lda,train,3,-4.8232422699334325,0.88200901922882835
trained,lda,train,2,3.2743645052390087,1.3981811017153429
trained,lda,train,2,3.7733915711252268,-1.0952539088607571
trained,lda,train,2,3.6758755758977144,0.52474995794302159
trained,lda,train,3,-4.0580520712960944,1.965970024360546
trained,lda,train,3,-4.7163666376692515,0.38413627318711169
trained,lda,train,2,3.3811823510340129,-0.19249570955350861
trained,lda,train,2,3.8106327218269844,0.94620502435899601
trained,lda,train,3,-4.322187714567117,1.97837339725581
trained,lda,train,2,3.2138627383675686,-0.45365089136259384
trained,lda,train,3,-3.930734934028306,0.32836316900268719
trained,lda,train,3,-4.8062158099150381,1.2124053524129463
