seed,K,kind,n_episodes,count_acc,vp,abs_count_err,hit_rate,miss_rate,fa_per_episode,fa_per_lap,extra_per_episode,mean_pred_count,std_pred_count,mean_episode_len
2,2,trained,150,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,226.0
2,3,trained,150,100.0,0.9990476190476191,0.0,1.0,0.0,0.006666666666666667,0.0022222222222222222,0.0,3.0,0.0,336.0
2,4,trained,150,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,446.0
2,5,trained,150,100.0,0.9993939393939394,0.0,1.0,0.0,0.006666666666666667,0.0013333333333333335,0.0,5.0,0.0,556.0
2,6,trained,150,100.0,0.9994871794871794,0.0,1.0,0.0,0.006666666666666667,0.0011111111111111111,0.0,6.0,0.0,666.0
2,7,trained,150,100.0,0.9776519321178766,0.0,1.0,0.0,0.4266666666666667,0.06095238095238096,0.0,7.0,0.0,776.0
2,8,trained,150,99.33333333333333,0.8391073463480324,0.006666666666666667,0.9991666666666666,0.0008333333333333334,4.513333333333334,0.5641666666666667,0.0,7.993333333333333,0.08137703743822468,886.0
2,9,trained,150,98.0,0.5836136136149727,0.02,0.9977777777777778,0.0022222222222222222,16.133333333333333,1.7925925925925925,0.0,8.98,0.13999999999999999,996.0
2,10,trained,150,98.66666666666667,0.31794045866605086,0.02,0.998,0.002,48.446666666666665,4.844666666666667,0.0,9.98,0.1814754345175493,1106.0
2,11,trained,150,87.33333333333333,0.18807759818983408,0.13333333333333333,0.9878787878787879,0.012121212121212121,98.02,8.91090909090909,0.0,10.866666666666667,0.35901098714230023,1216.0
2,12,trained,150,77.33333333333333,0.1419654154571738,0.2733333333333333,0.9772222222222222,0.02277777777777778,144.12666666666667,12.010555555555555,0.0,11.726666666666667,0.5403291178120567,1326.0
2,13,trained,150,56.0,0.11694192304097754,0.5866666666666667,0.9548717948717949,0.04512820512820513,188.76666666666668,14.520512820512822,0.0,12.413333333333334,0.8180192880094916,1436.0
2,14,trained,150,38.0,0.09867928530913911,0.9933333333333333,0.929047619047619,0.07095238095238095,238.53333333333333,17.038095238095238,0.0,13.006666666666666,1.003305647458551,1546.0
2,15,trained,150,21.333333333333332,0.08424012862293412,1.4666666666666666,0.9022222222222223,0.09777777777777778,294.25333333333333,19.616888888888887,0.0,13.533333333333333,1.06874796945876,1656.0
2,16,trained,150,10.0,0.07657904205632096,1.9333333333333333,0.8791666666666667,0.12083333333333333,339.20666666666665,21.200416666666666,0.0,14.066666666666666,1.1756794725698931,1766.0
3,2,trained,150,100.0,0.9893333333333334,0.0,1.0,0.0,0.05333333333333334,0.02666666666666667,0.0,2.0,0.0,226.0
3,3,trained,150,100.0,0.9952380952380951,0.0,1.0,0.0,0.03333333333333333,0.011111111111111112,0.0,3.0,0.0,336.0
3,4,trained,150,100.0,0.9970370370370369,0.0,1.0,0.0,0.02666666666666667,0.006666666666666667,0.0,4.0,0.0,446.0
3,5,trained,150,100.0,0.9963636363636362,0.0,1.0,0.0,0.04,0.008,0.0,5.0,0.0,556.0
3,6,trained,150,100.0,0.9979487179487179,0.0,1.0,0.0,0.02666666666666667,0.0044444444444444444,0.0,6.0,0.0,666.0
3,7,trained,150,100.0,0.9914803921568627,0.0,1.0,0.0,0.13333333333333333,0.019047619047619046,0.0,7.0,0.0,776.0
3,8,trained,150,100.0,0.8064677300755022,0.0,1.0,0.0,4.926666666666667,0.6158333333333333,0.0,8.0,0.0,886.0
3,9,trained,150,100.0,0.5107827978089265,0.0,1.0,0.0,21.92,2.4355555555555557,0.0,9.0,0.0,996.0
3,10,trained,150,100.0,0.22888024582191746,0.0,1.0,0.0,70.68,7.0680000000000005,0.0,10.0,0.0,1106.0
3,11,trained,150,99.33333333333333,0.1683544181557962,0.006666666666666667,0.9993939393939394,0.0006060606060606061,112.19333333333333,10.19939393939394,0.0,10.993333333333334,0.08137703743822468,1216.0
3,12,trained,150,94.66666666666667,0.12890712547086805,0.06,0.995,0.005,163.17333333333335,13.597777777777779,0.0,11.94,0.2640706976045115,1326.0
3,13,trained,150,90.66666666666667,0.11251149622846938,0.09333333333333334,0.9928205128205129,0.0071794871794871795,206.1,15.853846153846153,0.0,12.906666666666666,0.29089898972361905,1436.0
3,14,trained,150,79.33333333333333,0.09683864753536353,0.23333333333333334,0.9833333333333333,0.016666666666666666,258.6666666666667,18.476190476190478,0.0,13.766666666666667,0.4818944098266986,1546.0
3,15,trained,150,78.66666666666667,0.08898251570470642,0.22666666666666666,0.9848888888888889,0.015111111111111112,304.54,20.302666666666667,0.0,14.773333333333333,0.44939465456940575,1656.0
3,16,trained,150,75.33333333333333,0.08086481658867385,0.2733333333333333,0.9829166666666667,0.017083333333333332,359.14666666666665,22.446666666666665,0.0,15.726666666666667,0.5019517462421618,1766.0
4,2,trained,150,100.0,0.9986666666666667,0.0,1.0,0.0,0.006666666666666667,0.0033333333333333335,0.0,2.0,0.0,226.0
4,3,trained,150,100.0,0.9990476190476191,0.0,1.0,0.0,0.006666666666666667,0.0022222222222222222,0.0,3.0,0.0,336.0
4,4,trained,150,100.0,0.9985185185185185,0.0,1.0,0.0,0.013333333333333334,0.0033333333333333335,0.0,4.0,0.0,446.0
4,5,trained,150,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,556.0
4,6,trained,150,100.0,0.9985347985347987,0.0,1.0,0.0,0.02,0.0033333333333333335,0.0,6.0,0.0,666.0
4,7,trained,150,100.0,0.983699367253547,0.0,1.0,0.0,0.3,0.04285714285714286,0.0,7.0,0.0,776.0
4,8,trained,150,100.0,0.7270604755911143,0.0,1.0,0.0,9.513333333333334,1.1891666666666667,0.0,8.0,0.0,886.0
4,9,trained,150,100.0,0.3422282704420788,0.0,1.0,0.0,42.52,4.724444444444445,0.0,9.0,0.0,996.0
4,10,trained,150,100.0,0.20203244655076194,0.0,1.0,0.0,84.36,8.436,0.0,10.0,0.0,1106.0
4,11,trained,150,96.66666666666667,0.14873184175548218,0.03333333333333333,0.996969696969697,0.0030303030303030303,131.92,11.992727272727272,0.0,10.966666666666667,0.17950549357115014,1216.0
4,12,trained,150,90.66666666666667,0.11532857039594657,0.1,0.9916666666666667,0.008333333333333333,185.56,15.463333333333333,0.0,11.9,0.32145502536643183,1326.0
4,13,trained,150,76.66666666666667,0.0986323279538005,0.30666666666666664,0.9764102564102564,0.02358974358974359,236.38,18.18307692307692,0.0,12.693333333333333,0.6318930992572152,1436.0
4,14,trained,150,53.333333333333336,0.08630133183916368,0.66,0.9528571428571428,0.047142857142857146,284.0466666666667,20.28904761904762,0.06,13.34,0.8313041962282318,1546.0
4,15,trained,150,26.666666666666668,0.07486527814086706,1.08,0.928,0.072,345.1933333333333,23.012888888888888,0.0,13.92,0.8603875095947562,1656.0
4,16,trained,150,17.333333333333332,0.06989996958673905,1.4133333333333333,0.9116666666666666,0.08833333333333333,388.76666666666665,24.297916666666666,0.06,14.586666666666666,0.9810651807545147,1766.0
