mode,phase,seed,sort,unit_rank,time_bin,peak_count,value
hippo,initial_d30,1,freq,3,15,1,-0.00059
hippo,initial_d30,1,freq,3,16,1,-0.09848
hippo,initial_d30,1,freq,3,17,1,-0.19549
hippo,initial_d30,1,freq,3,18,1,-0.29073
hippo,initial_d30,1,freq,3,19,1,-0.38332
hippo,initial_d30,1,freq,3,20,1,-0.47243
hippo,initial_d30,1,freq,3,21,1,-0.55722
hippo,initial_d30,1,freq,3,22,1,-0.63694
hippo,initial_d30,1,freq,3,23,1,-0.71086
hippo,initial_d30,1,freq,3,24,1,-0.77831
hippo,initial_d30,1,freq,3,25,1,-0.8387
hippo,initial_d30,1,freq,3,26,1,-0.89149
hippo,initial_d30,1,freq,3,27,1,-0.93621
hippo,initial_d30,1,freq,3,28,1,-0.97248
hippo,initial_d30,1,freq,3,29,1,-1.0
hippo,initial_d30,1,freq,4,0,1,1.0
hippo,initial_d30,1,freq,4,1,1,0.9309
hippo,initial_d30,1,freq,4,2,1,0.86181
hippo,initial_d30,1,freq,4,3,1,0.79274
hippo,initial_d30,1,freq,4,4,1,0.72367
hippo,initial_d30,1,freq,4,5,1,0.65461
hippo,initial_d30,1,freq,4,6,1,0.58556
hippo,initial_d30,1,freq,4,7,1,0.51651
hippo,initial_d30,1,freq,4,8,1,0.44748
hippo,initial_d30,1,freq,4,9,1,0.37845
hippo,initial_d30,1,freq,4,10,1,0.30944
hippo,initial_d30,1,freq,4,11,1,0.24044
hippo,initial_d30,1,freq,4,12,1,0.17144
hippo,initial_d30,1,freq,4,13,1,0.10245
hippo,initial_d30,1,freq,4,14,1,0.03347
hippo,initial_d30,1,freq,4,15,1,-0.03549
hippo,initial_d30,1,freq,4,16,1,-0.10445
hippo,initial_d30,1,freq,4,17,1,-0.17341
hippo,initial_d30,1,freq,4,18,1,-0.24235
hippo,initial_d30,1,freq,4,19,1,-0.31128
hippo,initial_d30,1,freq,4,20,1,-0.38019
hippo,initial_d30,1,freq,4,21,1,-0.4491
hippo,initial_d30,1,freq,4,22,1,-0.51799
hippo,initial_d30,1,freq,4,23,1,-0.58689
hippo,initial_d30,1,freq,4,24,1,-0.65576
hippo,initial_d30,1,freq,4,25,1,-0.72463
hippo,initial_d30,1,freq,4,26,1,-0.79348
hippo,initial_d30,1,freq,4,27,1,-0.86233
hippo,initial_d30,1,freq,4,28,1,-0.93118
hippo,initial_d30,1,freq,4,29,1,-1.0
hippo,initial_d30,1,freq,5,0,1,1.0
hippo,initial_d30,1,freq,5,1,1,0.99139
